方差分析：单因素方差分析,,,,,,
,,,,,,
SUMMARY,,,,,,
组,观测数,求和,平均,方差,,
906750,95,12656,133.2210526,6.386786114,,
912250,95,1460,15.36842105,4.384098544,,
918250,95,6384,67.2,33.33191489,,
923250,95,13625,143.4210526,13.52295633,,
913250,95,15898,167.3473684,16.27166853,,
905250,95,15717,165.4421053,24.37693169,,
923750,95,12856,135.3263158,5.754087346,,
912750,95,542,5.705263158,15.72071669,,
918750,95,5211,54.85263158,45.44613662,,
926250,95,8117,85.44210526,15.97267637,,
921250,95,616,6.484210526,636.0396417,,
905750,95,14782,155.6,16.2,,
915250,95,11883,125.0842105,35.37581187,,
904750,95,12342,129.9157895,5680.482195,,
911250,95,4062,42.75789474,11.03650616,,
916750,95,9785,103,32.65957447,,
926750,95,6765,71.21052632,10.69988802,,
921750,95,16377,172.3894737,9.729675252,,
913750,95,15009,157.9894737,20.05307951,,
925250,95,10961,115.3789474,3.493169093,,
910750,95,5365,56.47368421,22.33706607,,
916250,95,10274,108.1473684,20.42486002,,
904250,95,763,8.031578947,12.60537514,,
917250,95,9489,99.88421053,8.997088466,,
909750,95,6713,70.66315789,11.26830907,,
903750,95,1724,18.14736842,1.850391937,,
911750,95,2772,29.17894737,8.701679731,,
906250,95,13624,143.4105263,9.499888018,,
919750,95,3088,32.50526316,18.97603583,,
927250,95,5937,62.49473684,9.784546473,,
922250,95,15222,160.2315789,9.477715566,,
907250,95,12292,129.3894737,10.13393057,,
920750,95,1191,12.53684211,7.102351624,,
909250,95,8033,84.55789474,31.41948488,,
925750,95,10071,106.0105263,4.478611422,,
920250,95,1964,20.67368421,15.52004479,,
914750,95,12918,135.9789474,2.829339306,,
908750,95,9015,94.89473684,9.903695409,,
924750,95,11489,120.9368421,14.99596865,,
915750,95,10901,114.7473684,7.978051512,,
910250,95,6413,67.50526316,6.252631579,,
903250,95,2772,29.17894737,8.637849944,,
908250,95,9873,103.9263158,8.175363942,,
919250,95,4021,42.32631579,10.69025756,,
924250,95,11967,125.9684211,24.7968645,,
914250,95,13997,147.3368421,10.56618141,,
902750,95,3870,40.73684211,8.536394177,,
907750,95,10700,112.6315789,6.298992161,,
917750,95,8333,87.71578947,17.78006719,,
922750,95,14304,150.5684211,7.35431131,,
,,,,,,
,,,,,,
方差分析,,,,,,
差异源,SS,df,MS,F,P-value,F crit
组间,11902157.37,49,242901.1708,1738.905782,0,1.356632613
组内,656525.2211,4700,139.6862172,,,
,,,,,,
总计,12558682.59,4749,,,,