EPC,Ant,Time,Frequency,RSSI,Phase
E2801160600002073A4A0519,1,1970/1/5 19:17,912750,-51,59
E2801160600002073A4A0529,1,1970/1/5 19:17,912750,-49,22
E2801160600002073A4A0519,2,1970/1/5 19:17,912750,-56,101
E2801160600002073A4A0529,2,1970/1/5 19:17,912750,-67,73
E2801160600002073A4A0529,3,1970/1/5 19:17,912750,-58,8
E2801160600002073A4A0519,3,1970/1/5 19:17,912750,-55,16
E2801160600002073A4A0529,1,1970/1/5 19:17,912750,-51,61
E2801160600002073A4A0519,1,1970/1/5 19:17,912750,-56,92
E2801160600002073A4A0519,2,1970/1/5 19:17,912750,-55,98
E2801160600002073A4A0529,2,1970/1/5 19:17,912750,-65,98
E2801160600002073A4A0529,3,1970/1/5 19:17,912750,-59,5
E2801160600002073A4A0519,3,1970/1/5 19:17,912750,-55,11
E2801160600002073A4A0529,1,1970/1/5 19:17,912750,-61,0
E2801160600002073A4A0519,1,1970/1/5 19:17,912750,-69,25
E2801160600002073A4A0529,2,1970/1/5 19:17,912750,-66,101
E2801160600002073A4A0519,2,1970/1/5 19:17,912750,-55,78
E2801160600002073A4A0529,3,1970/1/5 19:17,918750,-70,157
E2801160600002073A4A0519,3,1970/1/5 19:17,918750,-57,8
E2801160600002073A4A0519,1,1970/1/5 19:17,918750,-74,16
E2801160600002073A4A0529,1,1970/1/5 19:17,918750,-65,174
E2801160600002073A4A0529,2,1970/1/5 19:17,918750,-79,143
E2801160600002073A4A0519,2,1970/1/5 19:17,918750,-55,120
E2801160600002073A4A0519,3,1970/1/5 19:17,918750,-56,174
E2801160600002073A4A0529,3,1970/1/5 19:17,918750,-68,132
E2801160600002073A4A0529,1,1970/1/5 19:17,918750,-63,129
E2801160600002073A4A0519,1,1970/1/5 19:17,918750,-62,25
E2801160600002073A4A0519,2,1970/1/5 19:17,918750,-62,112
E2801160600002073A4A0529,2,1970/1/5 19:17,918750,-77,168
E2801160600002073A4A0519,3,1970/1/5 19:17,918750,-61,143
E2801160600002073A4A0529,3,1970/1/5 19:17,918750,-66,151
E2801160600002073A4A0519,1,1970/1/5 19:17,918750,-65,84
E2801160600002073A4A0529,1,1970/1/5 19:17,918750,-70,140
E2801160600002073A4A0519,2,1970/1/5 19:17,926250,-70,90
E2801160600002073A4A0529,2,1970/1/5 19:17,926250,-72,146
E2801160600002073A4A0519,3,1970/1/5 19:17,926250,-62,87
E2801160600002073A4A0529,3,1970/1/5 19:17,926250,-64,115
E2801160600002073A4A0529,1,1970/1/5 19:17,926250,-68,92
E2801160600002073A4A0519,1,1970/1/5 19:17,926250,-68,168
E2801160600002073A4A0529,2,1970/1/5 19:17,926250,-72,118
E2801160600002073A4A0519,2,1970/1/5 19:17,926250,-71,78
E2801160600002073A4A0529,3,1970/1/5 19:17,926250,-63,126
E2801160600002073A4A0519,3,1970/1/5 19:17,926250,-62,112
E2801160600002073A4A0529,1,1970/1/5 19:17,926250,-70,16
E2801160600002073A4A0519,1,1970/1/5 19:17,926250,-64,160
E2801160600002073A4A0519,1,1970/1/5 19:17,921250,-67,87
E2801160600002073A4A0529,1,1970/1/5 19:17,921250,-68,146
E2801160600002073A4A0519,2,1970/1/5 19:17,921250,-74,30
E2801160600002073A4A0529,2,1970/1/5 19:17,921250,-73,19
E2801160600002073A4A0519,3,1970/1/5 19:17,921250,-63,11
E2801160600002073A4A0529,3,1970/1/5 19:17,921250,-74,5
E2801160600002073A4A0529,1,1970/1/5 19:17,921250,-61,163
E2801160600002073A4A0519,1,1970/1/5 19:17,921250,-75,95
E2801160600002073A4A0519,2,1970/1/5 19:17,921250,-73,160
E2801160600002073A4A0529,2,1970/1/5 19:17,921250,-82,61
E2801160600002073A4A0529,3,1970/1/5 19:17,921250,-72,126
E2801160600002073A4A0519,3,1970/1/5 19:17,921250,-62,151
E2801160600002073A4A0519,1,1970/1/5 19:17,921250,-67,11
E2801160600002073A4A0529,1,1970/1/5 19:17,921250,-61,160
E2801160600002073A4A0529,2,1970/1/5 19:17,921250,-80,78
E2801160600002073A4A0519,2,1970/1/5 19:17,921250,-74,11
E2801160600002073A4A0529,3,1970/1/5 19:17,905750,-67,81
E2801160600002073A4A0519,3,1970/1/5 19:17,905750,-62,137
E2801160600002073A4A0519,1,1970/1/5 19:17,905750,-55,61
E2801160600002073A4A0529,1,1970/1/5 19:17,905750,-63,154
E2801160600002073A4A0539,1,1970/1/5 19:17,905750,-80,126
E2801160600002073A4A0529,2,1970/1/5 19:17,905750,-70,11
E2801160600002073A4A0519,2,1970/1/5 19:17,905750,-74,16
E2801160600002073A4A0519,3,1970/1/5 19:17,905750,-66,42
E2801160600002073A4A0529,3,1970/1/5 19:17,905750,-63,33
E2801160600002073A4A0519,1,1970/1/5 19:17,905750,-53,67
E2801160600002073A4A0529,1,1970/1/5 19:17,905750,-61,151
E2801160600002073A4A0539,1,1970/1/5 19:17,905750,-80,129
E2801160600002073A4A0519,2,1970/1/5 19:17,905750,-74,149
E2801160600002073A4A0529,2,1970/1/5 19:17,905750,-76,47
E2801160600002073A4A0519,3,1970/1/5 19:17,905750,-68,30
E2801160600002073A4A0529,3,1970/1/5 19:17,905750,-68,115
E2801160600002073A4A0519,1,1970/1/5 19:17,915250,-59,75
E2801160600002073A4A0529,1,1970/1/5 19:17,915250,-65,165
E2801160600002073A4A0539,1,1970/1/5 19:17,915250,-75,84
E2801160600002073A4A0529,2,1970/1/5 19:17,915250,-76,126
E2801160600002073A4A0519,2,1970/1/5 19:17,915250,-70,106
E2801160600002073A4A0529,3,1970/1/5 19:17,915250,-65,36
E2801160600002073A4A0519,3,1970/1/5 19:17,915250,-69,25
E2801160600002073A4A0529,1,1970/1/5 19:17,915250,-64,151
E2801160600002073A4A0519,1,1970/1/5 19:17,915250,-60,75
E2801160600002073A4A0539,1,1970/1/5 19:17,915250,-76,61
E2801160600002073A4A0529,2,1970/1/5 19:17,915250,-74,149
E2801160600002073A4A0519,2,1970/1/5 19:17,915250,-70,106
E2801160600002073A4A0529,1,1970/1/5 19:17,904750,-62,36
E2801160600002073A4A0519,1,1970/1/5 19:17,904750,-59,118
E2801160600002073A4A0539,1,1970/1/5 19:17,904750,-79,143
E2801160600002073A4A0529,2,1970/1/5 19:17,904750,-74,59
E2801160600002073A4A0519,2,1970/1/5 19:17,904750,-74,171
E2801160600002073A4A0519,3,1970/1/5 19:17,904750,-68,67
E2801160600002073A4A0529,3,1970/1/5 19:17,904750,-65,115
E2801160600002073A4A0529,1,1970/1/5 19:17,904750,-62,22
E2801160600002073A4A0519,1,1970/1/5 19:17,904750,-58,129
E2801160600002073A4A0539,1,1970/1/5 19:17,904750,-80,177
E2801160600002073A4A0529,2,1970/1/5 19:17,904750,-68,56
E2801160600002073A4A0519,2,1970/1/5 19:17,904750,-74,30
E2801160600002073A4A0529,3,1970/1/5 19:17,904750,-65,67
E2801160600002073A4A0519,3,1970/1/5 19:17,904750,-69,45
E2801160600002073A4A0529,1,1970/1/5 19:17,904750,-49,106
E2801160600002073A4A0519,1,1970/1/5 19:17,904750,-54,120
E2801160600002073A4A0539,1,1970/1/5 19:17,904750,-79,168
E2801160600002073A4A0529,2,1970/1/5 19:17,911250,-66,75
E2801160600002073A4A0519,2,1970/1/5 19:17,911250,-72,87
E2801160600002073A4A0519,3,1970/1/5 19:17,911250,-70,56
E2801160600002073A4A0529,3,1970/1/5 19:17,911250,-65,78
E2801160600002073A4A0529,1,1970/1/5 19:17,911250,-49,143
E2801160600002073A4A0519,1,1970/1/5 19:17,911250,-53,149
E2801160600002073A4A0519,2,1970/1/5 19:17,911250,-74,64
E2801160600002073A4A0529,2,1970/1/5 19:17,911250,-68,90
E2801160600002073A4A0529,3,1970/1/5 19:17,911250,-69,151
E2801160600002073A4A0519,3,1970/1/5 19:17,911250,-70,92
E2801160600002073A4A0519,1,1970/1/5 19:17,911250,-52,132
E2801160600002073A4A0529,1,1970/1/5 19:17,911250,-47,120
E2801160600002073A4A0529,2,1970/1/5 19:17,911250,-66,101
E2801160600002073A4A0519,2,1970/1/5 19:17,911250,-70,95
E2801160600002073A4A0519,3,1970/1/5 19:17,911250,-69,87
E2801160600002073A4A0529,3,1970/1/5 19:17,911250,-64,115
E2801160600002073A4A0529,1,1970/1/5 19:17,916750,-53,5
E2801160600002073A4A0519,1,1970/1/5 19:17,916750,-56,22
E2801160600002073A4A0519,2,1970/1/5 19:17,916750,-67,118
E2801160600002073A4A0529,2,1970/1/5 19:17,916750,-63,126
E2801160600002073A4A0519,3,1970/1/5 19:17,916750,-69,106
E2801160600002073A4A0529,3,1970/1/5 19:17,916750,-64,129
E2801160600002073A4A0519,1,1970/1/5 19:17,916750,-55,25
E2801160600002073A4A0529,1,1970/1/5 19:17,916750,-53,19
E2801160600002073A4A0519,2,1970/1/5 19:17,916750,-67,123
E2801160600002073A4A0529,2,1970/1/5 19:17,916750,-63,123
E2801160600002073A4A0519,3,1970/1/5 19:17,916750,-68,123
E2801160600002073A4A0529,3,1970/1/5 19:17,916750,-62,163
E2801160600002073A4A0519,1,1970/1/5 19:17,926750,-53,174
E2801160600002073A4A0529,1,1970/1/5 19:17,926750,-53,2
E2801160600002073A4A0519,2,1970/1/5 19:17,926750,-66,53
E2801160600002073A4A0529,2,1970/1/5 19:17,926750,-62,84
E2801160600002073A4A0529,3,1970/1/5 19:17,926750,-62,87
E2801160600002073A4A0519,3,1970/1/5 19:17,926750,-65,59
E2801160600002073A4A0519,1,1970/1/5 19:17,926750,-53,177
E2801160600002073A4A0529,1,1970/1/5 19:17,926750,-52,177
E2801160600002073A4A0529,2,1970/1/5 19:17,926750,-62,61
E2801160600002073A4A0519,2,1970/1/5 19:17,926750,-66,70
E2801160600002073A4A0519,3,1970/1/5 19:17,926750,-66,67
E2801160600002073A4A0529,3,1970/1/5 19:17,926750,-61,84
E2801160600002073A4A0519,1,1970/1/5 19:17,926750,-53,174
E2801160600002073A4A0529,1,1970/1/5 19:17,926750,-52,168
E2801160600002073A4A0519,2,1970/1/5 19:17,926750,-67,50
E2801160600002073A4A0529,2,1970/1/5 19:17,926750,-62,81
E2801160600002073A4A0529,3,1970/1/5 19:17,921750,-61,19
E2801160600002073A4A0519,3,1970/1/5 19:17,921750,-67,0
E2801160600002073A4A0519,1,1970/1/5 19:17,921750,-53,75
E2801160600002073A4A0529,1,1970/1/5 19:17,921750,-51,109
E2801160600002073A4A0519,2,1970/1/5 19:17,921750,-68,168
E2801160600002073A4A0529,2,1970/1/5 19:17,921750,-64,16
E2801160600002073A4A0519,3,1970/1/5 19:17,921750,-66,177
E2801160600002073A4A0529,3,1970/1/5 19:17,921750,-60,11
E2801160600002073A4A0529,1,1970/1/5 19:17,921750,-51,98
E2801160600002073A4A0519,1,1970/1/5 19:17,921750,-53,87
E2801160600002073A4A0519,2,1970/1/5 19:17,921750,-68,171
E2801160600002073A4A0529,2,1970/1/5 19:17,921750,-64,14
E2801160600002073A4A0529,3,1970/1/5 19:17,921750,-60,19
E2801160600002073A4A0519,3,1970/1/5 19:17,921750,-66,174
E2801160600002073A4A0529,1,1970/1/5 19:17,921750,-51,92
E2801160600002073A4A0519,1,1970/1/5 19:17,921750,-53,92
E2801160600002073A4A0519,2,1970/1/5 19:17,921750,-67,157
E2801160600002073A4A0529,2,1970/1/5 19:17,921750,-64,16
E2801160600002073A4A0519,3,1970/1/5 19:17,913750,-68,157
E2801160600002073A4A0529,3,1970/1/5 19:17,913750,-62,36
E2801160600002073A4A0529,1,1970/1/5 19:17,913750,-49,78
E2801160600002073A4A0519,1,1970/1/5 19:17,913750,-52,95
E2801160600002073A4A0529,2,1970/1/5 19:17,913750,-63,14
E2801160600002073A4A0519,2,1970/1/5 19:17,913750,-67,149
E2801160600002073A4A0519,3,1970/1/5 19:17,913750,-68,157
E2801160600002073A4A0529,3,1970/1/5 19:17,913750,-62,30
E2801160600002073A4A0519,1,1970/1/5 19:17,913750,-52,101
E2801160600002073A4A0529,1,1970/1/5 19:17,913750,-49,90
E2801160600002073A4A0519,2,1970/1/5 19:17,913750,-67,160
E2801160600002073A4A0529,2,1970/1/5 19:17,913750,-63,14
E2801160600002073A4A0529,1,1970/1/5 19:17,925250,-51,25
E2801160600002073A4A0519,1,1970/1/5 19:17,925250,-53,39
E2801160600002073A4A0519,2,1970/1/5 19:17,925250,-67,67
E2801160600002073A4A0529,2,1970/1/5 19:17,925250,-62,120
E2801160600002073A4A0519,3,1970/1/5 19:17,925250,-65,109
E2801160600002073A4A0529,3,1970/1/5 19:17,925250,-60,115
E2801160600002073A4A0519,1,1970/1/5 19:17,925250,-53,39
E2801160600002073A4A0529,1,1970/1/5 19:17,925250,-52,33
E2801160600002073A4A0529,2,1970/1/5 19:17,925250,-62,112
E2801160600002073A4A0519,2,1970/1/5 19:17,925250,-67,61
E2801160600002073A4A0529,3,1970/1/5 19:17,925250,-60,126
E2801160600002073A4A0519,3,1970/1/5 19:17,925250,-65,112
E2801160600002073A4A0529,1,1970/1/5 19:17,925250,-52,33
E2801160600002073A4A0519,1,1970/1/5 19:17,925250,-53,28
E2801160600002073A4A0529,2,1970/1/5 19:17,925250,-62,104
E2801160600002073A4A0519,2,1970/1/5 19:17,925250,-67,84
E2801160600002073A4A0529,3,1970/1/5 19:17,925250,-61,120
E2801160600002073A4A0519,3,1970/1/5 19:17,925250,-66,104
E2801160600002073A4A0519,1,1970/1/5 19:17,910750,-51,168
E2801160600002073A4A0529,1,1970/1/5 19:17,910750,-49,157
E2801160600002073A4A0519,2,1970/1/5 19:17,910750,-67,59
E2801160600002073A4A0529,2,1970/1/5 19:17,910750,-61,95
E2801160600002073A4A0519,3,1970/1/5 19:17,910750,-66,56
E2801160600002073A4A0529,3,1970/1/5 19:17,910750,-61,115
E2801160600002073A4A0529,1,1970/1/5 19:17,910750,-49,154
E2801160600002073A4A0519,1,1970/1/5 19:17,910750,-51,171
E2801160600002073A4A0529,2,1970/1/5 19:17,910750,-61,95
E2801160600002073A4A0519,2,1970/1/5 19:17,910750,-67,67
E2801160600002073A4A0529,3,1970/1/5 19:17,910750,-61,132
E2801160600002073A4A0519,3,1970/1/5 19:17,910750,-66,42
E2801160600002073A4A0529,1,1970/1/5 19:17,910750,-49,149
E2801160600002073A4A0519,1,1970/1/5 19:17,910750,-51,165
E2801160600002073A4A0519,2,1970/1/5 19:17,910750,-67,53
E2801160600002073A4A0529,2,1970/1/5 19:17,910750,-61,112
E2801160600002073A4A0529,3,1970/1/5 19:17,910750,-61,104
E2801160600002073A4A0519,3,1970/1/5 19:17,910750,-66,50
E2801160600002073A4A0519,1,1970/1/5 19:17,916250,-54,30
E2801160600002073A4A0529,1,1970/1/5 19:17,916250,-51,25
E2801160600002073A4A0529,2,1970/1/5 19:17,916250,-62,140
E2801160600002073A4A0519,2,1970/1/5 19:17,916250,-66,126
E2801160600002073A4A0519,3,1970/1/5 19:17,916250,-67,123
E2801160600002073A4A0529,3,1970/1/5 19:17,916250,-62,140
E2801160600002073A4A0519,1,1970/1/5 19:17,916250,-53,56
E2801160600002073A4A0529,1,1970/1/5 19:17,916250,-51,16
E2801160600002073A4A0529,2,1970/1/5 19:17,916250,-62,135
E2801160600002073A4A0519,2,1970/1/5 19:17,916250,-67,120
E2801160600002073A4A0529,3,1970/1/5 19:17,916250,-62,163
E2801160600002073A4A0519,3,1970/1/5 19:17,916250,-68,118
